Date,Open,High,Low,Close,Adj Close,Volume
5/12/2017,154.699997,156.419998,154.669998,156.100006,150.025269,32527000
5/15/2017,156.009995,156.649994,155.050003,155.699997,149.640854,26009700
5/16/2017,155.940002,156.059998,154.720001,155.470001,149.419769,20048500
5/17/2017,153.600006,154.570007,149.710007,150.25,144.402939,50767700
5/18/2017,151.270004,153.339996,151.130005,152.539993,146.60379,33568200
5/19/2017,153.380005,153.979996,152.630005,153.059998,147.103546,26960800
5/22/2017,154,154.580002,152.910004,153.990005,147.997375,22966400
5/23/2017,154.899994,154.899994,153.309998,153.800003,147.814774,19918900
5/24/2017,153.839996,154.169998,152.669998,153.339996,147.372681,19178000
5/25/2017,153.729996,154.350006,153.029999,153.869995,147.882019,19235600
5/26/2017,154,154.240005,153.309998,153.610001,147.632202,21927600
5/30/2017,153.419998,154.429993,153.330002,153.669998,147.68985,20126900
5/31/2017,153.970001,154.169998,152.380005,152.759995,146.815247,24451200
6/1/2017,153.169998,153.330002,152.220001,153.179993,147.218903,16404100
6/2/2017,153.580002,155.449997,152.889999,155.449997,149.400574,27770700
6/5/2017,154.339996,154.449997,153.460007,153.929993,147.939713,25331700
6/6/2017,153.899994,155.809998,153.779999,154.449997,148.439484,26624900
6/7/2017,155.020004,155.979996,154.479996,155.369995,149.3237,21069600
6/8/2017,155.25,155.539993,154.399994,154.990005,148.958481,21250800
6/9/2017,155.190002,155.190002,146.020004,148.979996,143.182343,64882700
6/12/2017,145.740005,146.089996,142.509995,145.419998,139.76091,72307300
6/13/2017,147.160004,147.449997,145.149994,146.589996,140.885376,34165400
6/14/2017,147.5,147.5,143.839996,145.160004,139.511017,31531200
6/15/2017,143.320007,144.479996,142.210007,144.289993,138.674835,32165400
6/16/2017,143.779999,144.5,142.199997,142.270004,136.73349,50361100
6/19/2017,143.660004,146.740005,143.660004,146.339996,140.645081,32541400
6/20/2017,146.869995,146.869995,144.940002,145.009995,139.366852,24900100
6/21/2017,145.520004,146.070007,144.610001,145.869995,140.193375,21265800
6/22/2017,145.770004,146.699997,145.119995,145.630005,139.962753,19106300
6/23/2017,145.130005,147.160004,145.110001,146.279999,140.587418,35439400
6/26/2017,147.169998,148.279999,145.380005,145.820007,140.145325,25692400
